id,name,img_url,brand_id,cat_id,sub_id
91,Whisky Escocés WHITE HORSE 1 L,https://geant.vteximg.com.br/arquivos/ids/201587-200-200/543890.jpg?v=636371810058530000,2216,2,10
92,Jugo WATTS durazno 1 L,https://geant.vteximg.com.br/arquivos/ids/268819-200-200/570968.jpg?v=637520188555800000,2208,2,7
93,Jugo WATTS naranja 1 L,https://geant.vteximg.com.br/arquivos/ids/268820-200-200/570969.jpg?v=637520188977600000,2208,2,7
94,Cerveza VOLCANICA Belgian Ipa 500 ml,https://geant.vteximg.com.br/arquivos/ids/210304-200-200/550024.jpg?v=636450490548530000,2197,2,5
95,Cerveza VOLCANICA Dubbel 500 ml,https://geant.vteximg.com.br/arquivos/ids/210305-200-200/550025.jpg?v=636450490579530000,2197,2,5
96,Agua SALUS sin gas 1.5 L,https://geant.vteximg.com.br/arquivos/ids/288767-200-200/590076.jpg?v=637720625349500000,1832,2,4
97,Agua SALUS sin gas 2.25 L,https://geant.vteximg.com.br/arquivos/ids/288781-200-200/590415.jpg?v=637720630826370000,1832,2,4
98,Agua SALUS sin gas 600 ml,https://geant.vteximg.com.br/arquivos/ids/288772-200-200/590269.jpg?v=637720627334930000,1832,2,4
99,"Aceite maíz DELICIA 1,5 L",https://geant.vteximg.com.br/arquivos/ids/197724-200-200/504009-1.jpg?v=636344177402930000,583,1,1
100,Aceitunas verdes LA ABUNDANCIA sin carozo 160 g,https://geant.vteximg.com.br/arquivos/ids/201875-200-200/660418.jpg?v=636371845172200000,1119,1,1
